,lfc_R,lfc_atlas,lfc_difference,padj_R,padj_atlas,Direction_R,Direction_atlas,Direction_match
PRUPE_6G338400,-0.903724563578501,-0.9,0.003724563578500928,4.73352717045528e-05,2.30289574129206e-05,NS,Down,False
PRUPE_1G365600,-0.796306480568348,-0.8,0.0036935194316520814,0.0145133714807678,0.0124774458886778,NS,Down,False
PRUPE_6G269000,-0.896472303949811,-0.9,0.0035276960501889887,0.0006349343619017,0.000376979910831953,NS,Down,False
PRUPE_1G343700,-0.796476281233396,-0.8,0.003523718766604067,0.0037759427212915,0.0024897699892886,NS,Down,False
PRUPE_6G249100,-0.703457411390606,-0.7,0.003457411390606069,0.0448215420949055,0.0393646035354262,NS,Down,False
PRUPE_3G034500,0.696676458391666,0.7,0.003323541608333924,0.0335272004198805,0.02889943428941,NS,Up,False
PRUPE_6G024400,0.596913400205226,0.6,0.003086599794773992,0.0379493934843812,0.0304378750943673,NS,Up,False
PRUPE_5G131400,-0.602606221609462,-0.6,0.0026062216094620005,0.013403889121832,0.0086798623028533,NS,Down,False
PRUPE_4G155100,-0.702246047304285,-0.7,0.002246047304285015,0.0497217247376679,0.0379414715725696,NS,Down,False
PRUPE_5G241800,-0.902030820641668,-0.9,0.0020308206416679297,0.0009173947009829,0.000621709085700128,NS,Down,False
PRUPE_1G116000,-0.601741508886792,-0.6,0.0017415088867920314,0.0201912256100922,0.013704415212893,NS,Down,False
PRUPE_2G264300,0.901542287598132,0.9,0.0015422875981320194,0.0040604922274789,0.0027963567849057,NS,Up,False
PRUPE_2G308200,-1.00136211210182,-1.0,0.0013621121018199123,1.44548238681627e-06,3.76820442634339e-07,Down,Down,True
PRUPE_6G274700,-0.801305349254349,-0.8,0.0013053492543489975,0.0303301284106687,0.0227212656967691,NS,Down,False
PRUPE_2G181200,-0.699694083467169,-0.7,0.0003059165328309632,0.0055267978375273,0.0039554220500592,NS,Down,False
PRUPE_1G031100,0.699819600387568,0.7,0.00018039961243199176,0.0377934824198829,0.0338311205897179,NS,Up,False
PRUPE_1G124200,4.01359154593519,,,0.037260244109823,,Up,Down,False
PRUPE_6G041500,-4.85796901772859,,,0.0227833451750962,,Down,Down,True
PRUPE_8G136100,-3.19540139226272,,,1.61325778104387e-07,,Down,Down,True
