# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-ENAD-3
# Timestamp: Mon, 17-Nov-2025 13:52:35
Gene ID	Gene Name	'drought environment' vs 'none' in 'leaf' .foldChange	'drought environment' vs 'none' in 'leaf'.pValue	'drought environment' vs 'none' in 'root' .foldChange	'drought environment' vs 'none' in 'root'.pValue
PRUPE_1G030900	PRUPE_1G030900	-0.1	0.998696915227065		
PRUPE_1G031100	PRUPE_1G031100			0.7	0.0338311205897179
PRUPE_1G031400	PRUPE_1G031400	-0.2	0.945588601257999	-0.2	0.767100393935117
PRUPE_1G031500	PRUPE_1G031500			-0.3	0.55786947880411
PRUPE_1G031700	PRUPE_1G031700	0.3	0.917694717627118	0.3	0.61220400319334
PRUPE_1G032000	PRUPE_1G032000			-1.1	2.41526807342606E-6
PRUPE_1G032100	PRUPE_1G032100			-0.4	0.415106248405413
PRUPE_1G032300	PRUPE_1G032300			0.3	0.808782166382843
PRUPE_1G032600	PRUPE_1G032600			-0.2	0.81342207216114
PRUPE_1G032700	PRUPE_1G032700			-1.0	0.223279165835967
PRUPE_1G032800	PRUPE_1G032800			-0.8	0.383810401184591
PRUPE_1G032900	PRUPE_1G032900			-1.6	0.00421445534706618
PRUPE_1G033100	PRUPE_1G033100			0.9	0.0565424398985236
PRUPE_1G033200	PRUPE_1G033200	-0.1	0.998696915227065		
PRUPE_1G033500	PRUPE_1G033500			0.1	0.932189299153186
PRUPE_1G033600	PRUPE_1G033600			0.5	0.705404874530536
PRUPE_1G033700	PRUPE_1G033700			-0.2	0.882336454709562
PRUPE_1G033900	PRUPE_1G033900			0.1	0.947194730509549
PRUPE_1G034200	PRUPE_1G034200			-0.3	0.87262379499969
PRUPE_1G034300	PRUPE_1G034300	-0.1	0.998696915227065	-1.1	0.00600689654623304
PRUPE_1G034500	PRUPE_1G034500			0.1	0.948981946342863
PRUPE_1G034600	PRUPE_1G034600			0.6	0.161375011924506
PRUPE_1G034700	PRUPE_1G034700			-0.1	0.958285398356401
PRUPE_1G034800	PRUPE_1G034800			0.6	0.206171952058174
PRUPE_1G034900	PRUPE_1G034900			-0.5	0.410307798611767
PRUPE_1G035100	PRUPE_1G035100	-0.1	0.998696915227065	-0.6	0.210666192280745
PRUPE_1G035200	PRUPE_1G035200	0.2	0.998696915227065	-0.1	0.89181216074294
PRUPE_1G035400	PRUPE_1G035400			-0.1	0.962239608788022
PRUPE_1G035500	PRUPE_1G035500	-0.2	0.932587228677988	-0.2	0.910809897881856
PRUPE_1G035700	PRUPE_1G035700			-0.4	0.749820096785701
PRUPE_1G035800	PRUPE_1G035800			-0.6	0.110653845398617
PRUPE_1G035900	PRUPE_1G035900			0.3	0.817039720921957
PRUPE_1G036000	PRUPE_1G036000			-0.5	0.297318559297322
PRUPE_1G036100	PRUPE_1G036100			-0.2	0.799347958816771
PRUPE_1G036600	PRUPE_1G036600			-0.8	0.33088733300088
PRUPE_1G036700	PRUPE_1G036700			-0.5	0.188864041564891
PRUPE_1G036800	PRUPE_1G036800			-1.5	0.020945063024063
PRUPE_1G036900	PRUPE_1G036900			-0.3	0.547477512243184
PRUPE_1G037000	PRUPE_1G037000			-0.6	0.108698719417067
PRUPE_1G037100	PRUPE_1G037100			-0.2	0.836897226770271
PRUPE_1G037200	PRUPE_1G037200	0.2	0.998696915227065		
PRUPE_1G037300	PRUPE_1G037300			0.2	0.884493027174632
PRUPE_1G037400	PRUPE_1G037400			-0.1	0.854535755566388
PRUPE_1G037500	PRUPE_1G037500	-0.1	0.998696915227065		
PRUPE_1G037600	PRUPE_1G037600			-0.1	0.943254032917117
PRUPE_1G037900	PRUPE_1G037900			-1.3	0.00145734758706924
PRUPE_1G038000	PRUPE_1G038000			0.5	0.499284952501448
PRUPE_1G038100	PRUPE_1G038100			-0.7	0.186691334984293
PRUPE_1G038200	PRUPE_1G038200			1.3	3.83382131310688E-4
PRUPE_1G038400	PRUPE_1G038400			0.2	0.889223853030237
PRUPE_1G038500	PRUPE_1G038500			-0.1	0.890748733052665
PRUPE_1G038600	PRUPE_1G038600	0.6	0.0427518339159782	0.4	0.352285819847108
PRUPE_1G038800	PRUPE_1G038800	0.7	0.00586747587448412	0.1	0.94088074162404
PRUPE_1G038900	PRUPE_1G038900			0.2	0.703422639059423
PRUPE_1G039000	PRUPE_1G039000	-0.1	0.998696915227065	-0.2	0.646598514135877
PRUPE_1G039100	PRUPE_1G039100	-0.3	0.522414083744487	-0.7	0.0720685166847316
PRUPE_1G039200	PRUPE_1G039200			-1.3	4.53142861977776E-5
PRUPE_1G039300	PRUPE_1G039300			-0.5	0.518280605802852
PRUPE_1G039500	PRUPE_1G039500	0.8	0.0427928797390476	0.3	0.767868083542754
PRUPE_1G039600	PRUPE_1G039600	-0.3	0.989316751194036	0.5	0.271104465759053
PRUPE_1G039700	PRUPE_1G039700	0.4	0.834985334098469	0.1	0.898145998817769
PRUPE_1G039900	PRUPE_1G039900			-0.2	0.831777948524129
PRUPE_1G040000	PRUPE_1G040000	0.2	0.982271256623082	-0.1	0.934756636277242
PRUPE_1G040200	PRUPE_1G040200			-0.4	0.27586524533398
PRUPE_1G040400	PRUPE_1G040400	-0.4	0.619918634428804	-0.4	0.711429424065552
PRUPE_1G040500	PRUPE_1G040500	-0.2	0.998696915227065	0.2	0.661198593928145
PRUPE_1G040600	PRUPE_1G040600			-0.2	0.883057250150843
PRUPE_1G040700	PRUPE_1G040700			0.1	0.890343442362119
PRUPE_1G041100	PRUPE_1G041100			0.1	0.826182531758738
PRUPE_1G041400	PRUPE_1G041400			0.7	0.408839666073443
PRUPE_1G041500	PRUPE_1G041500	-0.4	0.307109905451802	-0.3	0.62397406927616
PRUPE_1G041600	PRUPE_1G041600			0.1	0.901611569490042
PRUPE_1G041700	PRUPE_1G041700	-0.1	0.998696915227065	-0.3	0.6103520080118
PRUPE_1G041900	PRUPE_1G041900			-0.7	0.453415915238057
PRUPE_1G042000	PRUPE_1G042000			0.6	0.544262910973875
PRUPE_1G042100	PRUPE_1G042100			0.5	0.596761906312399
PRUPE_1G042200	PRUPE_1G042200	0.1	0.998696915227065	-0.5	0.49804840946131
PRUPE_1G042300	PRUPE_1G042300			0.8	0.137872878203302
PRUPE_1G042400	PRUPE_1G042400	0.5	0.221343319037863	0.4	0.538184241420834
PRUPE_1G042500	PRUPE_1G042500			0.1	0.960696748518294
PRUPE_1G042800	PRUPE_1G042800	-0.1	0.998696915227065		
PRUPE_1G043100	PRUPE_1G043100			0.3	0.815809916794779
PRUPE_1G043300	PRUPE_1G043300	0.3	0.913554087961444	1.2	0.114779860810123
PRUPE_1G043400	PRUPE_1G043400	-0.2	0.998696915227065		
PRUPE_1G043700	PRUPE_1G043700			0.3	0.703422639059423
PRUPE_1G044000	PRUPE_1G044000			-0.9	0.00204230929374791
PRUPE_1G044300	PRUPE_1G044300			0.8	0.393623246360256
PRUPE_1G044600	PRUPE_1G044600			-0.1	0.800225758541846
PRUPE_1G044700	PRUPE_1G044700			-0.2	0.88172885146796
PRUPE_1G045100	PRUPE_1G045100	-0.1	0.998696915227065	-0.1	0.923539202337805
PRUPE_1G045200	PRUPE_1G045200			0.1	0.868373737250918
PRUPE_1G045300	PRUPE_1G045300	0.3	0.373129157196209	0.1	0.850734190066735
PRUPE_1G045500	PRUPE_1G045500			-0.5	0.206946243518061
